diff,y,v_learning,weekly_poll,pre_survey,points,email_indicator,out_of_office
0.316666333,0.08,0.08,0.95,2.99,9.010359,0,0
0.410000337,0.02,0.02,0.95,2.99,1.8404796,0,0
-11.92,46.7,46.7,0.95,2.99,7.3285356,0,0
18.03666667,57.23,57.23,0.95,2.99,9.942635,0,0
75.30333333,0,0,0.95,2.99,4.3928976,0,0
-60.09333333,66.79,66.79,0.95,2.99,8.222227,0,0
-14.88,56.01,56.01,0.95,2.99,8.80187,0,0
-22.21666667,63.5,63.5,0.95,2.99,1.9901543,0,0
-38.9,65.97,65.97,0.95,2.99,1.4762087,0,0
16.91333333,0,0,0.95,2.99,9.9345875,0,0
0.13,0,0,0.95,2.99,9.459527,0,0
0.113333333,0.02,0.02,0.95,2.99,9.515244,0,0
-43.49,63.37,63.37,0.95,2.99,9.527636,0,0
13.47332333,21.30001,21.30001,0.95,2.99,8.382641,0,0
-19.67332333,44.96999,44.96999,0.95,2.99,5.2806406,0,0
0.883333333,0.7,0.7,0.95,2.99,8.196308,0,0
9.876666667,0.7,0.7,0.95,2.99,9.285583,0,0
3.686666667,0.69,0.69,0.95,2.99,3.5494838,0,0
2.01,0,0,0.95,2.99,9.907486,0,0
-0.73,1.42,1.42,0.95,2.99,8.7535095,0,0
0.106666667,0,0,0.95,2.99,7.9077435,0,1
1.883333333,0,0,0.95,2.99,1.9065464,0,1
0.106666667,0,0,0.95,2.99,8.728752,0,1
0.103333333,0,0,0.95,2.99,5.286037,0,1
0.196666667,0,0,0.95,2.99,9.867025,0,1
0.106666667,0,0,0.95,2.99,9.3050995,0,1
0.106666667,0,0,0.95,2.99,3.5287025,0,1
0,0,0,0.95,2.99,9.266799,0,1
0.213333333,0,0,0.95,2.99,9.553951,0,1
0.103333333,0,0,0.95,2.99,9.165997,0,1
0.13,0,0,0.95,2.99,3.6163607,0,1
0.103333333,0,0,0.95,2.99,4.746271,0,1
0.103333333,0,0,0.95,2.99,9.246258,0,1
0.103333333,0,0,0.95,2.99,4.314837,0,1
0.11,0,0,0.95,2.99,6.2204247,0,1
0.106666667,0,0,0.95,2.99,0.05206776,0,1
0,0,0,0.95,2.99,6.9676967,0,1
0.206666667,0,0,0.95,2.99,5.704476,0,1
0.11,0,0,0.95,2.99,0.35718155,0,1
0.11,0,0,0.95,2.99,7.8681154,0,1
0.126666667,0,0,1.67,2.99,9.253578,0,1
0.106666667,0,0,1.67,2.99,6.5477886,0,1
4.213336667,1.39,1.39,1.67,2.99,0.6694937,0,1
30.34001333,0.9,0.9,1.67,2.99,4.827816,0,1
4.81,0.8,0.8,1.67,2.99,9.856457,0,1
25.85666667,0,0,1.67,2.99,6.31635,0,1
25.4033,1.59,1.59,1.67,2.99,3.5926747,0,1
46.95003333,0.8,0.8,1.67,2.99,3.0537384,0,1
26.75663333,0.82,0.82,1.67,2.99,6.286992,0,1
32.04003333,0.84,0.84,1.67,2.99,7.6486173,0,1
0.086666667,0,0,1.67,2.99,8.792354,0,1
-0.17,0.26,0.26,1.67,2.99,0.20265245,0,1
16.55666667,0,0,1.67,2.99,0.70802593,0,1
54.10666667,0,0,1.67,2.99,4.790443,0,1
35.80333333,0,0,1.67,2.99,0.9001155,0,1
32.86333333,0.06,0.06,1.67,2.99,6.8625956,0,1
35.06,0,0,1.67,2.99,6.2176523,0,1
39.04,0,0,1.67,2.99,0.40054846,0,1
67.29,0,0,1.67,2.99,9.867182,0,1
54.77666667,0,0,1.67,2.99,7.955681,0,1
0,0,0,1.67,2.99,4.592928,0,0
0,0,0,1.67,2.99,1.1790421,0,0
32.76,0,0,1.67,2.99,2.9590197,0,0
-98.80666667,140.99,140.99,1.67,2.99,1.7423401,0,0
-33.8,68.13,68.13,1.67,2.99,4.666456,0,0
-36.69,37.43,37.43,1.67,2.99,5.640857,1,0
-0.27,28.34,28.34,1.67,2.99,0.4760542,0,0
-65.39333333,88.66,88.66,1.67,2.99,0.06023693,0,0
-41.4,64.32,64.32,1.67,2.99,2.185724,0,0
-12.39333333,29.61,29.61,1.67,2.99,0.02094936,0,0
0.423333,0,0,1.67,2.99,2.693306,0,1
0.430000333,0,0,1.67,2.99,1.2137556,0,1
36.20333333,1.42,1.42,1.67,2.99,0.79517555,0,1
68.30333333,0.87,0.87,1.67,2.99,2.2389362,0,1
53.37666667,0.78,0.78,1.67,2.99,3.7603886,0,1
24.60666667,0,0,1.67,2.99,5.1229606,0,1
43.34,1.58,1.58,1.67,2.99,1.2674031,0,1
50.57,0,0,1.67,2.99,5.10636,0,1
30.87,1.63,1.63,1.67,2.99,3.8071656,0,1
16.89333333,0.02,0.02,1.67,2.99,6.1181192,0,1
0.13,0,0,1.67,2.99,2.3401985,0,0
0.14,0,0,1.67,2.99,0.1399951,0,0
34.91666667,1.36,1.36,1.67,2.99,0.9903803,0,0
28.27000333,0.02,0.02,1.67,2.99,7.044709,0,0
29.73999667,1.58,1.58,1.67,2.99,1.6946344,0,0
-4.896666667,6.09,6.09,1.67,2.99,2.6222963,0,0
6.976666667,0,0,1.67,2.99,4.799733,0,0
-43.35666667,47.62,47.62,1.67,2.99,7.5121965,0,0
-136.3933333,136.66,136.66,1.67,2.99,8.794069,0,0
-82.52666667,83.19,83.19,1.67,2.99,6.490289,0,0
0.106666667,0,0,1.67,2.99,2.7318707,0,0
0.086666667,0.02,0.02,1.67,2.99,1.8941174,0,0
0.106666667,0,0,1.67,2.99,5.1139874,0,0
0.103333333,0,0,1.67,2.99,0.9630227,0,0
0.106666667,0,0,1.67,2.99,5.792185,0,0
0.026666667,0.08,0.08,1.67,2.99,1.3175128,0,0
0.086666667,0.02,0.02,1.67,2.99,7.753053,0,0
-49.71,49.71,49.71,1.67,2.99,8.049406,0,0
0.213333333,0,0,1.67,2.99,2.360952,0,0
-144.1566667,144.26,144.26,1.67,2.99,4.4719434,0,0
-1.31,1.44,1.44,1.67,2.99,1.0144949,0,1
-1.336666667,1.44,1.44,1.67,2.99,6.432011,0,1
-1.356666667,1.46,1.46,1.67,2.99,8.168476,0,1
-1.416666667,1.52,1.52,1.67,2.99,6.478405,0,1
-1.356666667,1.46,1.46,1.67,2.99,1.2791407,0,1
-1.353333333,1.46,1.46,1.67,2.99,5.678406,0,1
0,0,0,1.67,2.99,2.9864497,0,1
-2.683333333,2.89,2.89,1.67,2.99,7.6478615,0,1
-1.366666667,1.47,1.47,1.67,2.99,3.9412024,0,1
0.11,0,0,1.67,2.99,3.2850504,0,1
0.126666667,0,0,4.28,2.99,0.7679229,0,0
0.106666667,0,0,4.28,2.99,1.7847717,0,0
-72.55333,78.62,78.62,4.28,2.99,1.9823246,0,0
-44.56998667,76.11,76.11,4.28,2.99,2.0476518,0,0
-55.86666667,61.72,61.72,4.28,2.99,2.2862341,0,0
-41.39333333,65.18,65.18,4.28,2.99,0.14449263,0,0
-17.1367,26.38,26.38,4.28,2.99,0.35882425,0,0
-49.3833,88.32,88.32,4.28,2.99,8.449842,0,0
-43.0767,69.27,69.27,4.28,2.99,2.7951655,0,0
-19.63996667,52.8,52.8,4.28,2.99,5.1707916,0,0
0.086666667,0,0,4.28,2.99,1.0171053,0,0
0.086666667,0,0,4.28,2.99,3.843413,0,0
-66.44,67.02,67.02,4.28,2.99,2.7862592,0,0
39.82666667,0,0,4.28,2.99,8.7584,0,0
-40.84666667,72.98,72.98,4.28,2.99,0.19341803,0,0
32.37333333,0.57,0.57,4.28,2.99,0.62842464,0,0
-44.25666667,76.93,76.93,4.28,2.99,0.25686502,0,0
-34.59666667,65.71,65.71,4.28,2.99,6.0494237,0,0
-36.94333333,72.84,72.84,4.28,2.99,2.969158,0,0
12.54333333,30.81,30.81,4.28,2.99,6.308549,0,0